I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16
15.169684,1200.000000,-412.464569,15.246102,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,124899.000000,0.000000,0.000000,124836.000000,4360.000000
15.163260,1200.000000,-412.294006,15.242141,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,125602.000000,0.000000,0.000000,125539.000000,4385.000000
15.167835,1200.000000,-412.415497,15.240393,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,126069.000000,0.000000,0.000000,126006.000000,4401.000000
15.163415,1200.000000,-412.298096,15.238644,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,126767.000000,0.000000,0.000000,126704.000000,4425.000000
15.160894,1200.000000,-412.231140,15.237879,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,127238.000000,0.000000,0.000000,127175.000000,4442.000000
15.161359,1200.000000,-412.243500,15.242715,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,127957.000000,0.000000,0.000000,127894.000000,4467.000000
15.158345,1200.000000,-412.163483,15.240803,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,128434.000000,0.000000,0.000000,128371.000000,4483.000000
15.160318,1200.000000,-412.215912,15.243671,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,129139.000000,0.000000,0.000000,129076.000000,4508.000000
15.167291,1200.000000,-412.401001,15.241512,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,129605.000000,0.000000,0.000000,129542.000000,4525.000000
15.168380,1200.000000,-412.429932,15.239327,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,130308.000000,0.000000,0.000000,130245.000000,4549.000000
15.169610,1200.000000,-412.462585,15.243972,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,130776.000000,0.000000,0.000000,130713.000000,4566.000000
15.166759,1200.000000,-412.386932,15.247414,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,131488.000000,0.000000,0.000000,131425.000000,4591.000000
15.167603,1200.000000,-412.409332,15.244218,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,131955.000000,0.000000,0.000000,131892.000000,4607.000000
15.163476,1200.000000,-412.299744,15.240993,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,132655.000000,0.000000,0.000000,132592.000000,4632.000000
15.163068,1200.000000,-412.288879,15.246158,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,133120.000000,0.000000,0.000000,133057.000000,4648.000000
15.184960,1200.000000,-412.870148,15.242168,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,133819.000000,0.000000,0.000000,133756.000000,4673.000000
15.180171,1200.000000,-412.743011,15.240419,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,134296.000000,0.000000,0.000000,134233.000000,4689.000000
15.176661,1200.000000,-412.649841,15.238671,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,135015.000000,0.000000,0.000000,134952.000000,4714.000000
15.170742,1200.000000,-412.492645,15.243507,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,135497.000000,0.000000,0.000000,135434.000000,4731.000000
15.162061,1200.000000,-412.262146,15.240557,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,136205.000000,0.000000,0.000000,136142.000000,4755.000000
15.151487,1200.000000,-411.981354,15.239245,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,136678.000000,0.000000,0.000000,136615.000000,4772.000000
15.151567,1200.000000,-411.983521,15.244518,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,137372.000000,0.000000,0.000000,137309.000000,4797.000000
15.148955,1200.000000,-411.914185,15.242114,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,137846.000000,0.000000,0.000000,137783.000000,4813.000000
15.154686,1200.000000,-412.066315,15.244463,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,138548.000000,0.000000,0.000000,138485.000000,4838.000000
15.155174,1200.000000,-412.079285,15.242086,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,139016.000000,0.000000,0.000000,138953.000000,4854.000000
15.147655,1200.000000,-411.879608,15.239682,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,139711.000000,0.000000,0.000000,139648.000000,4878.000000
15.152961,1200.000000,-412.020538,15.238617,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,140177.000000,0.000000,0.000000,140114.000000,4894.000000
15.153316,1200.000000,-412.029968,15.243152,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,140878.000000,0.000000,0.000000,140815.000000,4919.000000
15.143674,1200.000000,-411.773895,15.241130,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,141359.000000,0.000000,0.000000,141296.000000,4936.000000
15.157324,1200.000000,-412.136353,15.239081,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,142079.000000,0.000000,0.000000,142016.000000,4960.000000
15.153379,1200.000000,-412.031616,15.238179,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,142565.000000,0.000000,0.000000,142502.000000,4977.000000
15.154406,1200.000000,-412.058899,15.242059,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,143269.000000,0.000000,0.000000,143206.000000,5002.000000
15.146754,1200.000000,-411.855652,15.240338,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,143730.000000,0.000000,0.000000,143667.000000,5018.000000
15.153818,1200.000000,-412.043243,15.243370,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,144425.000000,0.000000,0.000000,144362.000000,5043.000000
15.151686,1200.000000,-411.986664,15.247878,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,144898.000000,0.000000,0.000000,144835.000000,5059.000000
15.152678,1200.000000,-412.012970,15.248015,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,145603.000000,0.000000,0.000000,145540.000000,5083.000000
15.146070,1200.000000,-411.837494,15.244627,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,146069.000000,0.000000,0.000000,146006.000000,5099.000000
15.145245,1200.000000,-411.815613,15.241240,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,146763.000000,0.000000,0.000000,146700.000000,5123.000000
15.151515,1200.000000,-411.982086,15.239737,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,147223.000000,0.000000,0.000000,147160.000000,5140.000000
15.138801,1200.000000,-411.644470,15.238261,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,147937.000000,0.000000,0.000000,147874.000000,5164.000000
15.143177,1200.000000,-411.760712,15.237606,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,148416.000000,0.000000,0.000000,148353.000000,5181.000000
15.151066,1200.000000,-411.970215,15.236923,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,149142.000000,0.000000,0.000000,149079.000000,5206.000000
15.164900,1200.000000,-412.337555,15.236622,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,149623.000000,0.000000,0.000000,149560.000000,5222.000000
15.142694,1200.000000,-411.747864,15.241950,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,150324.000000,0.000000,0.000000,150261.000000,5247.000000
15.160938,1200.000000,-412.232330,15.240256,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,150788.000000,0.000000,0.000000,150725.000000,5264.000000
15.155047,1200.000000,-412.075897,15.238562,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,151481.000000,0.000000,0.000000,151418.000000,5289.000000
15.152935,1200.000000,-412.019806,15.237797,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,151960.000000,0.000000,0.000000,151897.000000,5304.000000
15.158663,1200.000000,-412.171906,15.243644,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,152659.000000,0.000000,0.000000,152596.000000,5329.000000
15.159927,1200.000000,-412.205505,15.241486,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,153122.000000,0.000000,0.000000,153059.000000,5345.000000
15.143149,1200.000000,-411.760010,15.244081,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,153814.000000,0.000000,0.000000,153751.000000,5369.000000
15.147530,1200.000000,-411.876282,15.248398,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,154281.000000,0.000000,0.000000,154218.000000,5386.000000
15.136560,1200.000000,-411.585022,15.248316,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,154988.000000,0.000000,0.000000,154925.000000,5411.000000
15.142666,1200.000000,-411.747131,15.244873,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,155469.000000,0.000000,0.000000,155406.000000,5427.000000
15.152561,1200.000000,-412.009918,15.251758,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,156188.000000,0.000000,0.000000,156125.000000,5452.000000
15.159609,1200.000000,-412.197052,15.247359,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,156670.000000,0.000000,0.000000,156607.000000,5469.000000
15.149568,1200.000000,-411.930420,15.247687,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,157370.000000,0.000000,0.000000,157307.000000,5494.000000
15.151025,1200.000000,-411.969055,15.244409,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,157833.000000,0.000000,0.000000,157770.000000,5510.000000
15.134807,1200.000000,-411.538422,15.241103,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,158533.000000,0.000000,0.000000,158470.000000,5535.000000
15.128830,1200.000000,-411.379730,15.239655,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,159008.000000,0.000000,0.000000,158945.000000,5552.000000
15.140367,1200.000000,-411.686035,15.243808,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,159706.000000,0.000000,0.000000,159643.000000,5576.000000
15.133775,1200.000000,-411.511017,15.241594,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,160170.000000,0.000000,0.000000,160107.000000,5591.000000
15.120440,1200.000000,-411.156921,15.251567,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,160872.000000,0.000000,0.000000,160809.000000,5615.000000
15.115726,1200.000000,-411.031677,15.247223,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,161342.000000,0.000000,0.000000,161279.000000,5631.000000
15.113187,1200.000000,-410.964264,15.247605,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,162052.000000,0.000000,0.000000,161989.000000,5656.000000
15.128225,1200.000000,-411.363678,15.244327,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,162528.000000,0.000000,0.000000,162465.000000,5670.000000
15.124493,1200.000000,-411.264526,15.241048,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,163253.000000,0.000000,0.000000,163190.000000,5695.000000
15.125297,1200.000000,-411.285858,15.239600,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,163722.000000,0.000000,0.000000,163659.000000,5711.000000
15.123823,1200.000000,-411.246735,15.242906,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,164416.000000,0.000000,0.000000,164353.000000,5736.000000
15.116632,1200.000000,-411.055786,15.240939,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,164881.000000,0.000000,0.000000,164818.000000,5753.000000
15.098065,1200.000000,-410.562622,15.243726,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,165595.000000,0.000000,0.000000,165532.000000,5778.000000
15.103853,1200.000000,-410.716400,15.241540,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,166071.000000,0.000000,0.000000,166008.000000,5794.000000
15.107697,1200.000000,-410.818481,15.251567,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,166770.000000,0.000000,0.000000,166707.000000,5819.000000
15.107059,1200.000000,-410.801514,15.247223,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,167240.000000,0.000000,0.000000,167177.000000,5835.000000
15.104282,1200.000000,-410.727783,15.242851,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,167943.000000,0.000000,0.000000,167880.000000,5857.000000
15.105892,1200.000000,-410.770508,15.240911,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,168404.000000,0.000000,0.000000,168341.000000,5874.000000
15.115709,1200.000000,-411.031250,15.238944,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,169114.000000,0.000000,0.000000,169051.000000,5899.000000
15.121648,1200.000000,-411.188965,15.243671,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,169583.000000,0.000000,0.000000,169520.000000,5915.000000
15.125851,1200.000000,-411.300598,15.240665,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,170298.000000,0.000000,0.000000,170235.000000,5940.000000
15.126011,1200.000000,-411.304840,15.239327,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,170762.000000,0.000000,0.000000,170699.000000,5957.000000
15.130543,1200.000000,-411.425171,15.237988,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,171457.000000,0.000000,0.000000,171394.000000,5982.000000
15.148275,1200.000000,-411.896088,15.243972,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,171923.000000,0.000000,0.000000,171860.000000,5998.000000
15.143146,1200.000000,-411.759888,15.240829,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,172643.000000,0.000000,0.000000,172580.000000,6023.000000
15.143657,1200.000000,-411.773438,15.246048,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,173122.000000,0.000000,0.000000,173059.000000,6040.000000
15.150595,1200.000000,-411.957672,15.242114,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,173840.000000,0.000000,0.000000,173777.000000,6064.000000
15.153464,1200.000000,-412.033905,15.240393,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,174303.000000,0.000000,0.000000,174240.000000,6080.000000
15.161692,1200.000000,-412.252350,15.238644,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,175001.000000,0.000000,0.000000,174938.000000,6105.000000
15.162370,1200.000000,-412.270325,15.237879,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,175463.000000,0.000000,0.000000,175400.000000,6121.000000
15.164108,1200.000000,-412.316498,15.237114,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,176170.000000,0.000000,0.000000,176107.000000,6146.000000
15.168546,1200.000000,-412.434296,15.236759,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,176648.000000,0.000000,0.000000,176585.000000,6163.000000
15.153049,1200.000000,-412.022827,15.247769,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,177354.000000,0.000000,0.000000,177291.000000,6188.000000
15.153198,1200.000000,-412.026825,15.256676,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,177817.000000,0.000000,0.000000,177754.000000,6204.000000
15.150485,1200.000000,-411.954773,15.248643,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,178518.000000,0.000000,0.000000,178455.000000,6229.000000
15.154042,1200.000000,-412.049225,15.245091,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,179001.000000,0.000000,0.000000,178938.000000,6246.000000
