I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15
0.000000,3.857370,215.746292,216.446625,0.000000,0.000000,0.000000,2342.000000,647.000000,1180.000000,21.000000,34.000000,67.000000,67.000000,4077.000000,2699.000000
0.000000,4.241319,215.746292,216.382095,0.000000,0.000000,0.000000,2479.000000,776.000000,1180.000000,25.000000,34.000000,64.000000,67.000000,4107.000000,2722.000000
0.000000,4.462767,215.746292,216.356934,0.000000,0.000000,0.000000,2486.000000,776.000000,1180.000000,25.000000,34.000000,64.000000,67.000000,4131.000000,2738.000000
0.000000,4.731808,215.746292,216.311401,0.000000,0.000000,0.000000,2492.000000,776.000000,1180.000000,25.000000,34.000000,64.000000,67.000000,4166.000000,2761.000000
0.000000,4.877127,215.746292,216.303360,0.000000,0.000000,0.000000,2492.000000,776.000000,1180.000000,25.000000,34.000000,64.000000,67.000000,4190.000000,2777.000000
0.000000,5.069237,215.746292,216.265366,0.000000,0.000000,0.000000,2628.000000,776.000000,1311.000000,25.000000,38.000000,64.000000,199.000000,4226.000000,2796.000000
0.000000,5.176290,215.746292,216.258667,0.000000,0.000000,0.000000,2634.000000,776.000000,1311.000000,25.000000,38.000000,65.000000,64.000000,4250.000000,2812.000000
0.000000,5.310424,215.746292,216.255722,0.000000,0.000000,0.000000,2641.000000,776.000000,1311.000000,25.000000,38.000000,67.000000,64.000000,4285.000000,2835.000000
0.000000,5.380543,215.746292,216.272766,0.000000,0.000000,0.000000,2658.000000,776.000000,1311.000000,25.000000,38.000000,99.000000,65.000000,4305.000000,2851.000000
0.000000,5.450990,215.746292,216.293213,0.000000,0.000000,0.000000,2664.000000,776.000000,1311.000000,25.000000,38.000000,99.000000,67.000000,4340.000000,2875.000000
0.000000,5.482101,215.746292,216.296814,0.000000,0.000000,0.000000,2664.000000,776.000000,1311.000000,25.000000,38.000000,99.000000,67.000000,4364.000000,2891.000000
0.000000,5.500174,215.746292,216.298401,0.000000,0.000000,0.000000,2805.000000,907.000000,1311.000000,29.000000,38.000000,64.000000,67.000000,4393.000000,2914.000000
0.000000,5.486657,215.746292,216.298691,0.000000,0.000000,0.000000,2810.000000,907.000000,1311.000000,29.000000,38.000000,64.000000,67.000000,4417.000000,2929.000000
0.000000,5.458691,215.746292,216.298813,0.000000,0.000000,0.000000,2817.000000,907.000000,1311.000000,29.000000,38.000000,64.000000,67.000000,4452.000000,2953.000000
0.000000,5.438887,215.746292,216.298828,0.000000,0.000000,0.000000,2826.000000,907.000000,1311.000000,29.000000,38.000000,67.000000,67.000000,4476.000000,2969.000000
0.000000,5.394596,215.746292,216.298828,0.000000,0.000000,0.000000,2834.000000,907.000000,1311.000000,29.000000,38.000000,67.000000,67.000000,4512.000000,2993.000000
0.000000,5.349401,215.746292,216.298828,0.000000,0.000000,0.000000,2834.000000,907.000000,1311.000000,29.000000,38.000000,67.000000,67.000000,4536.000000,3009.000000
0.000000,5.267053,215.746292,216.298828,0.000000,0.000000,0.000000,2969.000000,907.000000,1441.000000,29.000000,43.000000,67.000000,199.000000,4571.000000,3028.000000
0.000000,5.215061,215.746292,216.298828,0.000000,0.000000,0.000000,2975.000000,907.000000,1441.000000,29.000000,43.000000,67.000000,64.000000,4594.000000,3044.000000
0.000000,5.127089,215.746292,216.298828,0.000000,0.000000,0.000000,2981.000000,907.000000,1441.000000,29.000000,43.000000,67.000000,64.000000,4629.000000,3068.000000
0.000000,5.065159,215.746292,216.316406,0.000000,0.000000,0.000000,3124.000000,1040.000000,1441.000000,33.000000,43.000000,96.000000,64.000000,4641.000000,3083.000000
0.000000,4.950241,215.746292,216.320221,0.000000,0.000000,0.000000,3130.000000,1040.000000,1441.000000,33.000000,43.000000,97.000000,65.000000,4679.000000,3107.000000
0.000000,4.857627,215.746292,216.306534,0.000000,0.000000,0.000000,3130.000000,1040.000000,1441.000000,33.000000,43.000000,97.000000,65.000000,4703.000000,3123.000000
0.000000,4.725808,215.746292,216.300507,0.000000,0.000000,0.000000,3145.000000,1040.000000,1441.000000,33.000000,43.000000,99.000000,65.000000,4739.000000,3146.000000
0.000000,4.646694,215.746292,216.327576,0.000000,0.000000,0.000000,3155.000000,1040.000000,1441.000000,33.000000,43.000000,99.000000,67.000000,4762.000000,3162.000000
0.000000,4.512323,215.746292,216.322632,0.000000,0.000000,0.000000,3289.000000,1170.000000,1441.000000,37.000000,43.000000,199.000000,67.000000,4792.000000,3186.000000
0.000000,4.424887,215.746292,216.307404,0.000000,0.000000,0.000000,3297.000000,1170.000000,1441.000000,37.000000,43.000000,64.000000,67.000000,4816.000000,3202.000000
0.000000,4.279124,215.746292,216.311234,0.000000,0.000000,0.000000,3307.000000,1170.000000,1441.000000,37.000000,43.000000,97.000000,67.000000,4851.000000,3225.000000
0.000000,4.171036,215.746292,216.320877,0.000000,0.000000,0.000000,3307.000000,1170.000000,1441.000000,37.000000,43.000000,97.000000,67.000000,4874.000000,3240.000000
0.000000,4.021486,215.746292,216.303604,0.000000,0.000000,0.000000,3322.000000,1170.000000,1441.000000,37.000000,43.000000,99.000000,67.000000,4909.000000,3264.000000
0.000000,3.918312,215.746292,216.318130,0.000000,0.000000,0.000000,3463.000000,1170.000000,1572.000000,37.000000,47.000000,99.000000,199.000000,4933.000000,3275.000000
0.000000,3.765524,215.746292,216.303009,0.000000,0.000000,0.000000,3602.000000,1299.000000,1572.000000,41.000000,47.000000,64.000000,64.000000,4962.000000,3299.000000
0.000000,3.653622,215.746292,216.310898,0.000000,0.000000,0.000000,3607.000000,1299.000000,1572.000000,41.000000,47.000000,64.000000,64.000000,4986.000000,3315.000000
0.000000,3.495476,215.746292,216.307770,0.000000,0.000000,0.000000,3614.000000,1299.000000,1572.000000,41.000000,47.000000,96.000000,64.000000,5022.000000,3338.000000
0.000000,3.391937,215.746292,216.302048,0.000000,0.000000,0.000000,3614.000000,1299.000000,1572.000000,41.000000,47.000000,96.000000,64.000000,5045.000000,3354.000000
0.000000,3.244377,215.746292,216.299545,0.000000,0.000000,0.000000,3620.000000,1299.000000,1572.000000,41.000000,47.000000,97.000000,65.000000,5081.000000,3378.000000
0.000000,3.137348,215.746292,216.299103,0.000000,0.000000,0.000000,3628.000000,1299.000000,1572.000000,41.000000,47.000000,99.000000,65.000000,5104.000000,3393.000000
0.000000,2.979691,215.746292,216.298904,0.000000,0.000000,0.000000,3636.000000,1299.000000,1572.000000,41.000000,47.000000,99.000000,67.000000,5139.000000,3417.000000
0.000000,2.878542,215.746292,216.309402,0.000000,0.000000,0.000000,3652.000000,1299.000000,1572.000000,41.000000,47.000000,99.000000,67.000000,5163.000000,3432.000000
0.000000,2.725601,215.746292,216.325027,0.000000,0.000000,0.000000,3789.000000,1430.000000,1572.000000,44.000000,47.000000,199.000000,67.000000,5191.000000,3456.000000
0.000000,2.628390,215.746292,216.318817,0.000000,0.000000,0.000000,3789.000000,1430.000000,1572.000000,44.000000,47.000000,199.000000,67.000000,5215.000000,3472.000000
0.000000,2.487190,215.746292,216.320038,0.000000,0.000000,0.000000,3924.000000,1430.000000,1702.000000,44.000000,51.000000,64.000000,199.000000,5251.000000,3492.000000
0.000000,2.388568,215.746292,216.317017,0.000000,0.000000,0.000000,3930.000000,1430.000000,1702.000000,44.000000,51.000000,64.000000,64.000000,5275.000000,3508.000000
0.000000,2.242928,215.746292,216.320343,0.000000,0.000000,0.000000,3936.000000,1430.000000,1702.000000,44.000000,51.000000,64.000000,64.000000,5311.000000,3531.000000
0.000000,2.151117,215.746292,216.306580,0.000000,0.000000,0.000000,3942.000000,1430.000000,1702.000000,44.000000,51.000000,65.000000,64.000000,5334.000000,3547.000000
0.000000,2.024509,215.746292,216.328644,0.000000,0.000000,0.000000,3953.000000,1430.000000,1702.000000,44.000000,51.000000,99.000000,65.000000,5370.000000,3570.000000
